,шанс,чувств,фокусира,фенов,факта,участва,успя,уважава,треньор,тренировъч,тежък,такав,стойка,стане,срещат,способ,специал,софия,силен,решени,развива,разбир,пулев,приятел,почивк,постижени,получ,оценява,общо,нокаутира,необходим,нататъ,направ,найваж,надал,място,моя,мотивир,млад,кубра,край,клей,качеств,карам,каквот,истинск,интересува,инач,изобщ,земя,здрав,единств,дължи,добри,децат,голям,вярва,вълнува,взето,вериг,важно,важен,бърз,боксов,Class
0,0.0,0.0,0.0,0.19672581860447014,0.0,0.0,0.0,0.0,0.0,0.15436321938409825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2814510170452141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.10876215485577063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175243097115413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12916323250196335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07872611941874899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21892154629548646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21892154629548646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.07817744146773019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07817744146773019,0.0,0.0,0.0,0.0,0.0,0.07018349723255841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944427306380694,0.04472213653190347,0.0,0.0,0.07817744146773019,0.0,0.08944427306380694,0.08944427306380694,0.14036699446511686,0.0,0.0,0.0,0.07817744146773019,0.0,0.0,0.0,0.08944427306380694,0.0,0.0,0.0,0.05463321506255176,0.0,0.0,0.07817744146773019,0.0476498340404049,0.05891666563648166,0.0,0.0,0.0,0.0,0.0,0.0,0.07817744146773019,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12532704563918567,0.0,0.09833933531448992,0.0,0.0,0.0,0.0,0.0,0.12532704563918567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09833933531448992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17378819872527468,0.15843432612005726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13727152130496967,0.0,0.0,0.0,0.0,0.2154234162928166,0.09819557381104624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13727152130496967,0.0,0.1077117081464083,0.0,0.0,0.0,0.0,0.0,0.0,0.11998013907888748,0.13727152130496967,0.0,0.0,0.0,0.08384644749774063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.12477447789573695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09790575655796667,0.0,0.0,0.0,0.0,0.0,0.0,0.08925596028563881,0.12477447789573695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10905728347081492,0.0,0.0,0.0,0.09790575655796667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
