Id	Chi-2	Feature	LightGBM	Logistics	Pearson	RFE	Random Forest	Total
1	True	чувст	True	True	True	True	True	6
2	True	форм	True	True	True	True	True	6
3	True	фенов	True	True	True	True	True	6
4	True	факт	True	True	True	True	True	6
5	True	участва	True	True	True	True	True	6
6	True	уважава	True	True	True	True	True	6
7	True	треньор	True	True	True	True	True	6
8	True	тренировъч	True	True	True	True	True	6
9	True	тежъ	True	True	True	True	True	6
10	True	такав	True	True	True	True	True	6
11	True	стойк	True	True	True	True	True	6
12	True	стане	True	True	True	True	True	6
13	True	способ	True	True	True	True	True	6
14	True	специал	True	True	True	True	True	6
15	True	софи	True	True	True	True	True	6
16	True	смята	True	True	True	True	True	6
17	True	силен	True	True	True	True	True	6
18	True	решени	True	True	True	True	True	6
19	True	разбир	True	True	True	True	True	6
20	True	пулев	True	True	True	True	True	6
21	True	прият	True	True	True	True	True	6
22	True	почив	True	True	True	True	True	6
23	True	постижени	True	True	True	True	True	6
24	True	помогн	True	True	True	True	True	6
25	True	получава	True	True	True	True	True	6
26	True	получав	True	True	True	True	True	6
27	True	полу	True	True	True	True	True	6
28	True	оценява	True	True	True	True	True	6
29	True	общ	True	True	True	True	True	6
30	True	необходим	True	True	True	True	True	6
31	True	натат	True	True	True	True	True	6
32	True	направ	True	True	True	True	True	6
33	True	напослед	True	True	True	True	True	6
34	True	найваж	True	True	True	True	True	6
35	True	нада	True	True	True	True	True	6
36	True	мяст	True	True	True	True	True	6
37	True	моя	True	True	True	True	True	6
38	True	мотивир	True	True	True	True	True	6
39	True	кубр	True	True	True	True	True	6
40	True	край	True	True	True	True	True	6
41	True	клей	True	True	True	True	True	6
42	True	качест	True	True	True	True	True	6
43	True	кара	True	True	True	True	True	6
44	True	какв	True	True	True	True	True	6
45	True	казв	True	True	True	True	True	6
46	True	кажа	True	True	True	True	True	6
47	True	истинс	True	True	True	True	True	6
48	True	интересув	True	True	True	True	True	6
49	True	ина	True	True	True	True	True	6
50	True	изобщ	True	True	True	True	True	6
51	True	изл	True	True	True	True	True	6
52	True	земя	True	True	True	True	True	6
53	True	здрав	True	True	True	True	True	6
54	True	единств	True	True	True	True	True	6
55	True	дълж	True	True	True	True	True	6
56	True	дока	True	True	True	True	True	6
57	True	деца	True	True	True	True	True	6
58	True	гард	True	True	True	True	True	6
59	True	вярва	True	True	True	True	True	6
60	True	вълнува	True	True	True	True	True	6
61	True	взето	True	True	True	True	True	6
62	True	вериг	True	True	True	True	True	6
63	True	важн	True	True	True	True	True	6
64	True	боксов	True	True	True	True	True	6
65	True	близъ	True	True	True	True	True	6
66	True	чужби	True	True	True	False	True	5
67	True	чудес	True	True	True	False	True	5
68	True	цели	True	True	False	True	True	5
69	True	състезател	True	True	True	False	True	5
70	False	среща	True	True	True	True	True	5
71	True	следв	True	True	True	False	True	5
72	True	път	True	True	True	False	True	5
73	True	публик	True	True	True	False	True	5
74	True	процес	True	True	True	False	True	5
75	False	продълж	True	True	True	True	True	5
76	True	прецен	True	True	True	False	True	5
77	True	предлож	True	True	True	False	True	5
78	True	пома	True	True	True	False	True	5
79	True	подготвя	True	True	True	False	True	5
80	False	подготв	True	True	True	True	True	5
81	False	план	True	True	True	True	True	5
82	True	обрат	True	True	True	False	True	5
83	True	нокаутир	True	True	True	False	True	5
84	True	ника	True	True	True	False	True	5
85	True	наяс	True	True	True	False	True	5
86	False	момче	True	True	True	True	True	5
87	True	млад	True	True	True	False	True	5
88	True	личн	True	True	True	False	True	5
89	True	кола	True	True	True	False	True	5
90	True	клуб	True	True	True	False	True	5
91	False	игр	True	True	True	True	True	5
92	True	други	True	True	True	False	True	5
93	True	доказв	True	True	True	False	True	5
94	True	добр	True	True	True	False	True	5
95	False	двубо	True	True	True	True	True	5
96	False	голям	True	True	True	True	True	5
97	True	голя	True	True	True	False	True	5
98	True	върх	True	True	True	False	True	5
99	True	втора	True	True	True	False	True	5
100	False	видим	True	True	True	True	True	5
