Id	Chi-2	Feature	LightGBM	Logistics	Pearson	RFE	Random Forest	Total
1	True	шанс	True	True	True	True	True	6
2	True	чувств	True	True	True	True	True	6
3	True	форма	True	True	True	True	True	6
4	True	феновет	True	True	True	True	True	6
5	True	факта	True	True	True	True	True	6
6	True	участва	True	True	True	True	True	6
7	True	уважава	True	True	True	True	True	6
8	True	треньор	True	True	True	True	True	6
9	True	тренировъч	True	True	True	True	True	6
10	True	тежък	True	True	True	True	True	6
11	True	такава	True	True	True	True	True	6
12	True	стойка	True	True	True	True	True	6
13	True	стане	True	True	True	True	True	6
14	True	срещата	True	True	True	True	True	6
15	True	способен	True	True	True	True	True	6
16	True	специал	True	True	True	True	True	6
17	True	софия	True	True	True	True	True	6
18	True	силен	True	True	True	True	True	6
19	True	самият	True	True	True	True	True	6
20	True	разбир	True	True	True	True	True	6
21	True	път	True	True	True	True	True	6
22	True	пулев	True	True	True	True	True	6
23	True	приятел	True	True	True	True	True	6
24	True	пресира	True	True	True	True	True	6
25	True	почивк	True	True	True	True	True	6
26	True	постижени	True	True	True	True	True	6
27	True	помогн	True	True	True	True	True	6
28	True	получи	True	True	True	True	True	6
29	True	оценява	True	True	True	True	True	6
30	True	остан	True	True	True	True	True	6
31	True	общо	True	True	True	True	True	6
32	True	нокаутира	True	True	True	True	True	6
33	True	неприят	True	True	True	True	True	6
34	True	необходим	True	True	True	True	True	6
35	True	нататъ	True	True	True	True	True	6
36	True	направ	True	True	True	True	True	6
37	True	найваж	True	True	True	True	True	6
38	True	надал	True	True	True	True	True	6
39	True	място	True	True	True	True	True	6
40	True	моя	True	True	True	True	True	6
41	True	миналат	True	True	True	True	True	6
42	True	кубрат	True	True	True	True	True	6
43	True	край	True	True	True	True	True	6
44	True	клей	True	True	True	True	True	6
45	True	качеств	True	True	True	True	True	6
46	True	карам	True	True	True	True	True	6
47	True	каквот	True	True	True	True	True	6
48	True	кажа	True	True	True	True	True	6
49	True	истинск	True	True	True	True	True	6
50	True	интересува	True	True	True	True	True	6
51	True	изобщ	True	True	True	True	True	6
52	True	играт	True	True	True	True	True	6
53	True	земя	True	True	True	True	True	6
54	True	здрав	True	True	True	True	True	6
55	True	единств	True	True	True	True	True	6
56	True	дължи	True	True	True	True	True	6
57	True	добри	True	True	True	True	True	6
58	True	децата	True	True	True	True	True	6
59	True	голям	True	True	True	True	True	6
60	True	вярвам	True	True	True	True	True	6
61	True	вълнува	True	True	True	True	True	6
62	True	взето	True	True	True	True	True	6
63	True	вериги	True	True	True	True	True	6
64	True	бърз	True	True	True	True	True	6
65	True	боксов	True	True	True	True	True	6
66	True	бокс	True	True	True	True	True	6
67	True	близък	True	True	True	True	True	6
68	True	чужбин	True	True	True	False	True	5
69	True	чудесно	True	True	True	False	True	5
70	True	фокусира	True	True	True	False	True	5
71	True	успях	True	True	True	False	True	5
72	True	състезател	True	True	True	False	True	5
73	True	страхотно	True	True	True	False	True	5
74	True	световен	True	True	True	False	True	5
75	True	радвам	True	True	True	False	True	5
76	True	процес	True	True	True	False	True	5
77	False	проблем	True	True	True	True	True	5
78	True	предлож	True	True	True	False	True	5
79	True	покаже	True	True	True	False	True	5
80	True	подобрият	True	True	True	False	True	5
81	True	подготвя	True	True	True	False	True	5
82	False	подготв	True	True	True	True	True	5
83	False	план	True	True	True	True	True	5
84	True	обрат	True	True	True	False	True	5
85	True	никак	True	True	True	False	True	5
86	True	наясно	True	True	True	False	True	5
87	True	напоследък	True	True	True	False	True	5
88	False	найдоб	True	True	True	True	True	5
89	True	мотивир	True	True	True	False	True	5
90	False	момчет	True	True	True	True	True	5
91	True	млад	True	True	True	False	True	5
92	True	клуб	True	True	True	False	True	5
93	False	искам	True	True	True	True	True	5
94	True	иначе	True	True	True	False	True	5
95	True	доказва	True	True	True	False	True	5
96	True	докажа	True	True	True	False	True	5
97	False	двубой	True	True	True	True	True	5
98	True	върха	True	True	True	False	True	5
99	False	видим	True	True	True	True	True	5
100	True	важен	True	True	True	False	True	5
