,Sport,Interviewee,Opponent,Sex,Rank,Rank Opp.,Int. Age,Opp. Age,Health,Psychics,Prev. Match,Confidence,day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,Class
0,0.0,0.08888888888888889,0.3913043478260869,1.0,0.12546125461254612,0.7749077490774907,0.9487179487179487,0.40909090909090906,1.0,0.9999999999999999,0.0,0.5,0.689655172413793,0.8333333333333333,0.7944785276073619,0.0,0.8,0.6666666666666667,0.7872340425531914,0.8333333333333333,0.7872340425531914,0.8888888888888857,0.0
1,0.0,0.7333333333333333,0.3913043478260869,1.0,0.11808118081180811,0.8118081180811808,0.6923076923076923,0.4545454545454545,1.0,0.9999999999999999,0.0,0.75,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2,0.0,0.3777777777777778,0.10869565217391304,1.0,0.7749077490774907,0.12546125461254612,0.6666666666666666,0.9090909090909091,1.0,0.9999999999999999,0.0,0.75,0.689655172413793,0.8333333333333333,0.7944785276073619,0.0,0.8,0.6666666666666667,0.7872340425531914,0.8333333333333333,0.7872340425531914,0.8888888888888857,1.0
3,0.0,0.3777777777777778,0.7391304347826086,1.0,0.8118081180811808,0.11808118081180811,0.6923076923076923,0.4545454545454545,1.0,0.9999999999999999,0.0,0.75,0.13793103448275862,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,0.0,0.3777777777777778,0.13043478260869565,1.0,0.6642066420664207,0.05904059040590406,0.641025641025641,1.0,1.0,0.9999999999999999,0.0,0.75,0.9310344827586207,0.8333333333333333,0.34662576687116564,0.0,0.30000000000000004,0.3333333333333333,0.3404255319148936,0.8333333333333333,0.3404255319148936,0.7777777777777715,1.0
5,0.0,0.9333333333333333,0.8478260869565217,1.0,0.06642066420664207,0.09594095940959409,0.7692307692307692,0.8181818181818182,1.0,0.9999999999999999,0.5,0.75,0.7241379310344828,0.8333333333333333,0.2331288343558282,0.0,0.20000000000000004,0.0,0.23404255319148934,0.8333333333333333,0.23404255319148934,1.0,0.0
6,0.0,0.4444444444444445,0.06521739130434782,1.0,0.0009626183218353923,0.0036900369003690036,0.8205128205128205,0.5909090909090909,1.0,0.9999999999999999,0.0,0.5,0.10344827586206898,0.16666666666666666,0.17791411042944785,0.0,0.20000000000000004,0.0,0.19148936170212766,0.16666666666666666,0.19148936170212766,1.0,0.0
7,0.0,0.46666666666666673,0.8478260869565217,1.0,0.01845018450184502,0.08118081180811808,0.7692307692307692,0.7272727272727274,1.0,0.9999999999999999,0.0,1.0,0.10344827586206898,0.16666666666666666,0.5552147239263804,0.0,0.6000000000000001,0.6666666666666667,0.553191489361702,0.16666666666666666,0.553191489361702,0.6666666666666856,0.0
8,0.0,0.06666666666666667,0.8478260869565217,1.0,0.07749077490774907,0.09225092250922509,0.5641025641025641,0.8181818181818182,1.0,0.9999999999999999,0.0,1.0,0.8620689655172413,0.8333333333333333,0.901840490797546,0.0,0.9,1.0,0.8936170212765957,0.8333333333333333,0.8936170212765957,0.8888888888888857,0.0
9,0.0,0.0,0.8478260869565217,1.0,0.0158144438587243,0.08856088560885608,0.8974358974358974,0.7272727272727274,1.0,0.9999999999999999,0.0,1.0,0.8965517241379309,0.6666666666666666,0.34355828220858897,0.0,0.30000000000000004,0.3333333333333333,0.3404255319148936,0.6666666666666666,0.3404255319148936,0.7777777777777715,0.0
10,0.0,0.8444444444444444,0.9347826086956521,1.0,0.09594095940959409,0.06642066420664207,0.8974358974358974,0.5909090909090909,1.0,0.9999999999999999,1.0,0.75,0.7241379310344828,0.8333333333333333,0.2331288343558282,0.0,0.20000000000000004,0.0,0.23404255319148934,0.8333333333333333,0.23404255319148934,1.0,1.0
11,0.0,0.8444444444444444,0.4782608695652174,1.0,0.08118081180811808,0.01845018450184502,0.846153846153846,0.5909090909090909,1.0,0.9999999999999999,0.0,0.75,0.10344827586206898,0.16666666666666666,0.5552147239263804,0.0,0.6000000000000001,0.6666666666666667,0.553191489361702,0.16666666666666666,0.553191489361702,0.6666666666666856,1.0
12,0.0,0.8444444444444444,0.08695652173913043,1.0,0.09225092250922509,0.07749077490774907,0.8974358974358974,0.22727272727272718,1.0,0.9999999999999999,0.0,0.75,0.8620689655172413,0.8333333333333333,0.901840490797546,0.0,0.9,1.0,0.8936170212765957,0.8333333333333333,0.8936170212765957,0.8888888888888857,1.0
13,0.0,0.8444444444444444,0.021739130434782608,1.0,0.08856088560885608,0.0158144438587243,0.846153846153846,0.8181818181818182,1.0,0.9999999999999999,0.0,0.75,0.8965517241379309,0.6666666666666666,0.34355828220858897,0.0,0.30000000000000004,0.3333333333333333,0.3404255319148936,0.6666666666666666,0.3404255319148936,0.7777777777777715,1.0
14,0.0,0.8444444444444444,0.2391304347826087,1.0,0.07749077490774907,0.004797047970479705,0.8205128205128205,0.9090909090909091,1.0,0.9999999999999999,0.0,0.75,0.3448275862068966,0.16666666666666666,0.38650306748466257,0.0,0.4,0.3333333333333333,0.4042553191489362,0.16666666666666666,0.4042553191489362,0.5555555555555713,1.0
15,0.0,0.8444444444444444,0.6521739130434783,1.0,0.6273062730627306,0.046740467404674045,0.7692307692307692,1.0,1.0,0.9999999999999999,0.0,0.75,0.7586206896551724,0.8333333333333333,0.7055214723926381,0.0,0.7000000000000001,0.6666666666666667,0.702127659574468,0.8333333333333333,0.702127659574468,0.3333333333333428,1.0
