,year,Rank Opp.,Rank,Prev. Match,Opponent,Interviewee,Confidence,day,Sex,Opp. Age,Int. Age,Class
0,0.8888888888888857,0.7749077490774907,0.12546125461254612,0.0,0.3913043478260869,0.08888888888888889,0.5,0.6896551724137929,1.0,0.40909090909090906,0.9487179487179488,0.0
1,1.0,0.8118081180811808,0.11808118081180813,0.0,0.3913043478260869,0.7333333333333333,0.75,0.13793103448275862,1.0,0.4545454545454545,0.6923076923076923,1.0
2,0.8888888888888857,0.12546125461254612,0.7749077490774907,0.0,0.10869565217391304,0.3777777777777778,0.75,0.6896551724137929,1.0,0.9090909090909092,0.6666666666666666,1.0
3,1.0,0.11808118081180813,0.8118081180811808,0.0,0.7391304347826086,0.3777777777777778,0.75,0.13793103448275862,1.0,0.4545454545454545,0.6923076923076923,0.0
4,0.7777777777777715,0.059040590405904064,0.6642066420664207,0.0,0.13043478260869565,0.3777777777777778,0.75,0.9310344827586208,1.0,1.0,0.641025641025641,1.0
5,1.0,0.09594095940959407,0.06642066420664207,0.5,0.8478260869565217,0.9333333333333332,0.75,0.7241379310344828,1.0,0.8181818181818182,0.7692307692307692,0.0
6,1.0,0.003690036900369004,0.0009626183218353924,0.0,0.06521739130434782,0.4444444444444445,0.5,0.10344827586206898,1.0,0.5909090909090909,0.8205128205128205,0.0
7,0.6666666666666856,0.08118081180811808,0.01845018450184502,0.0,0.8478260869565217,0.4666666666666667,1.0,0.10344827586206898,1.0,0.7272727272727274,0.7692307692307692,0.0
8,0.8888888888888857,0.09225092250922508,0.07749077490774907,0.0,0.8478260869565217,0.06666666666666668,1.0,0.8620689655172413,1.0,0.8181818181818182,0.5641025641025641,0.0
9,0.7777777777777715,0.08856088560885607,0.0158144438587243,0.0,0.8478260869565217,0.0,1.0,0.8965517241379309,1.0,0.7272727272727274,0.8974358974358974,0.0
10,1.0,0.06642066420664207,0.09594095940959407,1.0,0.934782608695652,0.8444444444444444,0.75,0.7241379310344828,1.0,0.5909090909090909,0.8974358974358974,1.0
11,0.6666666666666856,0.01845018450184502,0.08118081180811808,0.0,0.4782608695652174,0.8444444444444444,0.75,0.10344827586206898,1.0,0.5909090909090909,0.8461538461538459,1.0
12,0.8888888888888857,0.07749077490774907,0.09225092250922508,0.0,0.08695652173913042,0.8444444444444444,0.75,0.8620689655172413,1.0,0.2272727272727272,0.8974358974358974,1.0
13,0.7777777777777715,0.0158144438587243,0.08856088560885607,0.0,0.021739130434782608,0.8444444444444444,0.75,0.8965517241379309,1.0,0.8181818181818182,0.8461538461538459,1.0
14,0.5555555555555713,0.004797047970479705,0.07749077490774907,0.0,0.2391304347826087,0.8444444444444444,0.75,0.3448275862068966,1.0,0.9090909090909092,0.8205128205128205,1.0
15,0.3333333333333428,0.04674046740467405,0.6273062730627306,0.0,0.6521739130434783,0.8444444444444444,0.75,0.7586206896551724,1.0,1.0,0.7692307692307692,1.0
16,0.4444444444444571,0.07626076260762607,0.7380073800738007,0.0,0.13043478260869565,0.8444444444444444,1.0,0.4482758620689655,1.0,0.8636363636363636,0.7948717948717948,0.0
17,0.8888888888888857,0.03228782287822878,0.9594095940959408,0.0,0.4130434782608696,0.8666666666666667,1.0,0.5517241379310345,1.0,0.6363636363636364,0.7179487179487178,1.0
18,0.8888888888888857,0.014022140221402213,0.4059040590405904,0.0,0.3043478260869565,0.3111111111111112,0.75,0.8620689655172413,1.0,0.7272727272727274,0.8461538461538459,1.0
19,0.7777777777777715,0.6642066420664207,0.059040590405904064,0.0,0.3913043478260869,0.1111111111111111,0.5,0.9310344827586208,1.0,0.3636363636363637,1.0,0.0
20,0.4444444444444571,0.7380073800738007,0.07626076260762607,0.0,0.8478260869565217,0.1111111111111111,0.75,0.4482758620689655,1.0,0.6363636363636364,0.923076923076923,1.0
21,0.8888888888888857,0.0,0.007380073800738006,0.0,0.43478260869565216,0.2666666666666667,0.25,0.20689655172413796,0.0,0.3636363636363637,0.6666666666666666,0.0
22,1.0,0.013284132841328414,0.029520295202952032,0.0,0.21739130434782608,0.48888888888888893,1.0,0.03448275862068965,1.0,0.8181818181818182,0.7692307692307692,1.0
23,0.8888888888888857,0.0,0.0,0.0,0.6956521739130435,0.8888888888888888,1.0,0.3793103448275862,1.0,0.9090909090909092,0.6666666666666666,1.0
24,0.3333333333333428,0.007380073800738006,0.029520295202952032,0.0,0.6086956521739131,0.7111111111111111,0.5,0.06896551724137931,1.0,0.40909090909090906,0.6923076923076923,0.0
25,1.0,0.00959409594095941,0.011070110701107009,0.0,0.17391304347826084,0.7777777777777778,0.75,0.13793103448275862,1.0,0.5000000000000001,0.7179487179487178,0.0
26,0.5555555555555713,0.1033210332103321,0.007380073800738006,1.0,0.5869565217391304,0.3555555555555556,0.75,0.793103448275862,1.0,0.18181818181818174,0.641025641025641,1.0
27,0.0,0.003690036900369004,0.12915129151291513,0.5,0.5652173913043478,0.5333333333333333,0.25,0.8275862068965517,0.0,0.0,0.5128205128205128,0.0
28,0.7777777777777715,0.011070110701107009,0.025830258302583026,1.0,0.5869565217391304,0.8222222222222222,0.25,0.4482758620689655,1.0,0.31818181818181823,0.6153846153846153,0.0
29,0.7777777777777715,0.011070110701107009,0.01845018450184502,0.0,0.5869565217391304,1.0000000000000002,0.5,0.4827586206896552,1.0,0.31818181818181823,0.0,0.0
30,0.5555555555555713,0.1033210332103321,0.07749077490774907,0.5,0.5869565217391304,0.6666666666666666,0.75,0.3793103448275862,1.0,0.18181818181818174,0.641025641025641,1.0
