,Interviewee,Opponent,Rank,Rank Opp.,Int. Age,Prev. Match,Confidence,year,Class
0,0.08888888888888889,0.3913043478260869,0.12546125461254612,0.7749077490774907,0.9487179487179488,0.0,0.5,0.8888888888888857,0.0
1,0.7333333333333333,0.3913043478260869,0.11808118081180813,0.8118081180811808,0.6923076923076923,0.0,0.75,1.0,1.0
2,0.3777777777777778,0.10869565217391304,0.7749077490774907,0.12546125461254612,0.6666666666666666,0.0,0.75,0.8888888888888857,1.0
3,0.3777777777777778,0.7391304347826086,0.8118081180811808,0.11808118081180813,0.6923076923076923,0.0,0.75,1.0,0.0
4,0.3777777777777778,0.13043478260869565,0.6642066420664207,0.059040590405904064,0.641025641025641,0.0,0.75,0.7777777777777715,1.0
5,0.9333333333333332,0.8478260869565217,0.06642066420664207,0.09594095940959407,0.7692307692307692,0.5,0.75,1.0,0.0
6,0.4444444444444445,0.06521739130434782,0.0009626183218353924,0.003690036900369004,0.8205128205128205,0.0,0.5,1.0,0.0
7,0.4666666666666667,0.8478260869565217,0.01845018450184502,0.08118081180811808,0.7692307692307692,0.0,1.0,0.6666666666666856,0.0
8,0.06666666666666668,0.8478260869565217,0.07749077490774907,0.09225092250922508,0.5641025641025641,0.0,1.0,0.8888888888888857,0.0
9,0.0,0.8478260869565217,0.0158144438587243,0.08856088560885607,0.8974358974358974,0.0,1.0,0.7777777777777715,0.0
10,0.8444444444444444,0.934782608695652,0.09594095940959407,0.06642066420664207,0.8974358974358974,1.0,0.75,1.0,1.0
11,0.8444444444444444,0.4782608695652174,0.08118081180811808,0.01845018450184502,0.8461538461538459,0.0,0.75,0.6666666666666856,1.0
12,0.8444444444444444,0.08695652173913042,0.09225092250922508,0.07749077490774907,0.8974358974358974,0.0,0.75,0.8888888888888857,1.0
13,0.8444444444444444,0.021739130434782608,0.08856088560885607,0.0158144438587243,0.8461538461538459,0.0,0.75,0.7777777777777715,1.0
14,0.8444444444444444,0.2391304347826087,0.07749077490774907,0.004797047970479705,0.8205128205128205,0.0,0.75,0.5555555555555713,1.0
15,0.8444444444444444,0.6521739130434783,0.6273062730627306,0.04674046740467405,0.7692307692307692,0.0,0.75,0.3333333333333428,1.0
16,0.8444444444444444,0.13043478260869565,0.7380073800738007,0.07626076260762607,0.7948717948717948,0.0,1.0,0.4444444444444571,0.0
17,0.8666666666666667,0.4130434782608696,0.9594095940959408,0.03228782287822878,0.7179487179487178,0.0,1.0,0.8888888888888857,1.0
18,0.3111111111111112,0.3043478260869565,0.4059040590405904,0.014022140221402213,0.8461538461538459,0.0,0.75,0.8888888888888857,1.0
19,0.1111111111111111,0.3913043478260869,0.059040590405904064,0.6642066420664207,1.0,0.0,0.5,0.7777777777777715,0.0
20,0.1111111111111111,0.8478260869565217,0.07626076260762607,0.7380073800738007,0.923076923076923,0.0,0.75,0.4444444444444571,1.0
21,0.2666666666666667,0.43478260869565216,0.007380073800738006,0.0,0.6666666666666666,0.0,0.25,0.8888888888888857,0.0
